,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
145,2003-04-27 01:16:12+00:00,136.40111711317874,134.83343436395384,,,140.10154652338866,144.10654535504167
146,2003-05-05 01:30:06+00:00,145.79457095677682,141.90817602358047,139.99415113193066,147.43729101124313,148.27469446768023,155.1682252353599
147,2003-07-16 01:17:45+00:00,143.9806001808585,142.2210110645804,142.68244041939127,147.87847693991955,149.09656237933956,149.44318647120184
148,2003-08-01 01:18:04+00:00,143.91162704238732,132.0315509474556,136.76778766399158,139.74728021150247,141.79500535006468,145.12657505549043
149,2003-09-26 01:29:32+00:00,152.3493588900116,144.4971589906269,143.60370326803587,147.61557913299035,145.7247486513228,145.04622721274748
150,2003-10-04 01:19:05+00:00,135.4810034299652,135.4715977406203,132.59861748162353,138.94992078275004,136.69773404046748,144.1246418798335
151,2003-10-20 01:19:18+00:00,142.21090943937588,130.10861894115405,135.1175463340135,138.4004455910195,140.62929561133262,145.41624451909635
152,2003-11-13 01:29:53+00:00,156.60064306680732,151.4540986704361,146.49864226085822,147.01706860678775,151.2354238951096,153.05881493168624
153,2003-12-07 01:19:51+00:00,149.45180832259857,141.91864599889004,141.91071513226368,143.79630091820775,143.61126018153269,143.10092070848282
154,2003-12-15 01:30:07+00:00,160.7083121920132,153.2673732074892,149.53048503555684,157.5741061520659,,
155,2004-01-08 01:20:06+00:00,144.27233610491206,139.27092564785096,137.37811199017173,145.2495760637528,146.89035340851117,144.9473852935627
156,2004-02-17 01:30:27+00:00,160.37480308082903,156.63261933474007,148.7681438883121,155.96735494239968,150.1259408699451,156.5065129589606
157,2004-03-28 01:20:26+00:00,143.68560595214768,139.2189164103221,141.81444098306534,146.01801242309176,144.41526020519854,151.4071311919074
158,2004-04-05 01:30:35+00:00,155.7057562296052,148.92397424923277,144.61215368711888,153.9960222339248,148.82412425967718,156.05671845605923
159,2004-04-29 01:21:25+00:00,132.85210998332042,133.21731829209494,133.04120229414025,141.61689069099432,136.99310611928203,145.24751173592225
160,2004-05-07 01:30:31+00:00,143.71868771369668,145.4554634535572,143.05379963275135,153.1207457898235,147.00998292041717,150.1401550125096
161,2004-06-16 01:22:47+00:00,128.3902336918628,118.84482019107153,127.13646741904304,134.34037665302475,133.51531440289864,138.10121618858577
162,2004-07-18 01:23:43+00:00,119.57735770806791,125.37960261306208,127.14497107956164,134.1919486225228,132.62234878025635,136.02767240235784
163,2004-08-03 01:24:04+00:00,134.4265598318654,130.335343796719,128.11523853020665,130.03204976195704,134.74074193644978,140.61734883728002
164,2004-08-11 01:30:09+00:00,138.9936380881855,134.58630991836947,134.16490732358255,134.29807341644175,138.3282387800918,146.654237151413
165,2004-08-27 01:30:06+00:00,122.20013584952437,120.45268538274453,127.31214887794619,136.94458975919306,146.08955273902774,144.3427391073796
166,2004-09-20 01:25:17+00:00,143.4855012995079,130.99104043044827,136.05092879634776,134.0014134139756,136.38146503683012,144.00485175214655
167,2004-10-06 01:25:37+00:00,154.88634005012634,147.734805091106,150.56603061966655,153.1154242624347,149.17156387498898,149.96833201143176
168,2004-10-14 01:29:55+00:00,153.93520815508174,148.74224924975508,142.91971497220214,150.0540419912774,147.3377612493207,150.88829253286357
169,2004-10-22 01:25:58+00:00,150.4434966678119,139.90261134865864,142.08240843621027,148.32610602536982,148.4731988224194,144.17169525059958
170,2004-11-07 01:26:17+00:00,146.7344997857183,133.86661408303,137.4231181101631,144.88032364688684,142.15818341144322,142.37693304001874
171,2004-12-01 01:30:27+00:00,162.27795953862068,154.15746888525786,148.36368862224282,159.25765608533703,162.6555730916238,
172,2004-12-17 01:30:33+00:00,,,,,,146.98646189918628
173,2004-12-25 01:27:12+00:00,,,,192.47986903785883,192.7989348341974,177.5695024498647
174,2005-01-02 01:30:42+00:00,,,,,159.42235115960545,166.85804401634283
175,2005-01-26 01:27:35+00:00,,,,,,
176,2005-02-11 01:27:49+00:00,153.1392686842093,146.79511460704808,143.40907221953555,145.5545902528126,148.61885455704453,148.8240652331725
177,2005-03-07 01:31:02+00:00,160.38969090601162,151.87978943583622,147.7006592909453,151.72156251674488,153.0029606277172,149.84492817150007
178,2005-03-31 01:28:25+00:00,127.33844197115543,117.36614167558345,,,119.90285675901984,132.47357578928109
179,2005-04-08 01:30:57+00:00,146.05742611492622,146.48489148995705,145.96455574794672,152.74873281173302,152.45611860398108,158.59740878886993
180,2005-04-16 01:28:28+00:00,140.90769429621002,129.58884773717406,130.49036254788163,138.43424912848377,139.7482879416103,148.4140148233018
181,2005-04-24 01:30:53+00:00,141.69909851151343,136.80052592774854,138.51119603867787,141.2783014590734,,
