dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
2002-10-16 09:47:41+00:00,L7,254.09,211.54,213.28
2002-12-26 09:54:05+00:00,L7,258.43,209.62,215.28
2003-01-04 09:48:17+00:00,L7,258.44,213.42,209.49
2003-01-11 09:54:07+00:00,L7,,218.53,91.39
2003-01-27 09:54:14+00:00,L7,243.49,191.50,154.86
2003-02-05 09:48:10+00:00,L7,98.04,207.05,89.07
2003-03-16 09:54:27+00:00,L7,121.00,189.50,154.96
2003-03-25 09:48:11+00:00,L7,257.20,189.67,155.61
2003-04-01 09:54:27+00:00,L7,246.54,198.58,124.43
2003-04-17 09:54:29+00:00,L7,,208.08,97.64
2003-04-26 09:48:18+00:00,L7,247.66,208.91,206.90
2003-05-03 09:54:30+00:00,L7,243.26,212.20,125.10
2003-05-12 09:48:41+00:00,L7,250.83,214.50,212.89
2003-05-28 09:48:39+00:00,L7,257.15,206.50,125.08
2003-06-28 09:41:50+00:00,L5,,,
2003-07-07 09:35:50+00:00,L5,,203.80,104.43
2003-07-14 09:42:07+00:00,L5,,,
2003-07-23 09:36:06+00:00,L5,,215.96,96.76
2003-07-30 09:42:25+00:00,L5,,,
2003-08-24 09:37:05+00:00,L5,,201.80,96.82
2003-08-31 09:42:59+00:00,L5,,213.15,95.56
2003-09-16 09:43:16+00:00,L5,,,
2003-09-17 09:47:47+00:00,L7,237.60,206.23,127.89
2003-10-02 09:43:28+00:00,L5,282.86,189.04,285.96
2003-10-10 09:53:47+00:00,L7,,,
2003-10-11 09:37:23+00:00,L5,90.23,206.19,100.66
2003-12-06 09:48:15+00:00,L7,251.50,211.54,214.05
2003-12-13 09:54:30+00:00,L7,252.94,189.61,154.07
2004-01-06 09:44:30+00:00,L5,106.16,196.26,142.88
2004-01-30 09:54:48+00:00,L7,120.71,188.45,155.02
2004-02-16 09:38:28+00:00,L5,265.77,207.13,219.66
2004-02-23 09:44:42+00:00,L5,106.92,203.95,96.82
2004-03-03 09:38:57+00:00,L5,147.66,207.18,198.67
2004-03-26 09:44:50+00:00,L5,,203.88,99.87
