dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2022-01-24 08:44:41+00:00,230.98999999999998,206.43375,229.8114285714286,236.5925,L7
2022-02-08 10:05:51+00:00,231.135,206.3011111111111,229.59125,236.33444444444447,L8
2022-02-09 08:43:04+00:00,231.78555555555553,206.099,229.34666666666666,238.004,L7
2022-02-25 08:41:53+00:00,231.38400000000001,206.22545454545454,229.34666666666666,238.40090909090907,L7
2022-03-04 08:47:00+00:00,231.82444444444445,206.73090909090908,231.24333333333334,238.96818181818182,L7
2022-05-13 08:40:20+00:00,232.34714285714287,206.86444444444444,233.70428571428573,238.20777777777778,L7
2022-05-30 08:39:35+00:00,231.88857142857142,206.88888888888889,230.19142857142856,236.67222222222225,L7
2022-06-11 08:33:32+00:00,232.1325,207.754,227.99124999999998,239.132,L7
2022-08-01 08:29:33+00:00,231.60857142857145,207.62875,226.6833333333333,240.60625,L7
2022-10-25 08:20:41+00:00,230.60399999999998,205.738,223.70999999999998,234.348,L7
2022-10-30 08:25:51+00:00,230.60399999999998,205.738,223.70999999999998,239.135,L7
2022-11-11 08:18:23+00:00,228.51749999999998,203.424,218.30999999999997,241.08166666666662,L7
2023-02-19 10:06:07+00:00,230.57,200.33666666666667,229.7,241.19,L9
2023-03-03 08:09:16+00:00,233.07666666666668,202.0,230.47333333333336,244.34,L7
2023-03-07 10:05:55+00:00,231.8975,202.656,226.0775,242.9283333333333,L9
2023-03-25 08:08:51+00:00,231.8975,203.53166666666667,232.904,243.69142857142856,L7
2023-04-16 10:05:17+00:00,231.8975,203.53166666666667,236.10833333333335,249.255,L8
2023-05-02 10:05:12+00:00,227.09750000000003,205.18499999999997,237.76000000000005,260.18285714285713,L8
2023-05-10 10:05:23+00:00,227.09750000000003,206.76333333333335,238.8116666666667,265.11285714285714,L9
2023-05-25 07:58:56+00:00,227.92000000000002,205.76142857142858,236.68142857142857,260.60375,L7
