dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2012-10-09 22:01:16+00:00,382.17,362.31,359.32,355.79,369.13,370.46,359.21,355.54,361.07,362.50,353.55,,,,,,,,,,,,,,,,,,,,,,,L7
2012-11-26 22:01:37+00:00,384.95,382.56,378.19,379.20,377.63,373.53,366.16,364.84,382.94,378.03,381.55,374.81,374.30,369.27,370.07,377.96,367.36,367.20,369.57,366.45,374.05,388.45,380.93,384.59,387.45,386.78,378.34,359.07,366.88,370.32,375.51,382.70,372.04,L7
2012-12-12 22:01:41+00:00,380.99,367.18,359.98,349.28,356.62,362.93,348.56,358.94,363.64,,,,,,363.72,365.35,355.84,351.91,353.78,357.51,358.34,358.15,368.79,381.56,376.07,373.74,359.01,351.45,362.31,363.92,366.22,366.71,338.17,L7
2012-12-28 22:01:47+00:00,,,,,,,372.00,363.54,364.98,370.75,370.61,373.23,379.58,371.60,362.06,358.90,359.52,359.05,365.81,376.21,376.91,374.30,376.71,392.69,393.57,378.16,362.25,361.65,363.91,361.90,376.17,376.20,363.18,L7
2013-01-13 22:01:46+00:00,366.61,372.00,367.32,,359.96,349.92,350.48,356.96,354.04,365.19,369.76,362.11,359.41,369.35,353.80,,,372.00,372.44,377.71,369.20,363.95,366.93,388.92,356.33,362.37,348.91,353.15,355.62,355.85,376.15,377.96,356.52,L7
2013-05-29 22:07:41+00:00,384.49,379.91,386.27,364.93,370.98,370.59,,,,,,,,,,,,,,,,,,,,,,,374.79,371.75,387.28,393.84,383.34,L8
2013-10-12 22:01:37+00:00,380.42,367.87,367.17,374.25,379.58,376.96,369.70,377.51,382.36,395.90,385.31,373.69,376.17,375.42,366.18,353.88,354.24,354.74,364.53,364.67,370.94,364.45,390.86,397.44,394.11,392.34,365.33,370.51,369.28,363.94,370.60,383.11,370.27,L7
2013-10-20 22:07:26+00:00,380.69,372.72,369.03,379.98,368.78,385.96,379.09,375.32,387.75,384.45,392.37,376.48,382.56,376.73,364.70,359.46,358.90,354.38,363.88,373.29,369.23,371.11,377.59,390.54,381.69,375.25,369.70,365.48,369.95,367.95,381.41,387.15,376.59,L8
2013-11-21 22:07:13+00:00,372.30,362.05,356.03,351.81,359.77,365.33,372.67,369.15,362.51,373.81,373.73,373.73,361.11,362.50,333.55,354.91,342.11,351.83,352.30,362.89,361.02,354.43,366.08,378.17,370.20,339.36,348.64,353.27,363.78,365.05,381.12,385.53,361.43,L8
2013-12-07 22:07:14+00:00,380.50,373.05,366.82,365.41,365.13,365.86,379.96,375.22,367.76,385.48,386.16,376.90,361.60,369.49,363.10,,,,,,,,,,,,,,371.77,368.59,383.78,394.87,378.67,L8
2013-12-15 22:01:57+00:00,378.70,364.11,362.81,364.41,353.99,364.80,368.19,370.53,377.54,378.44,382.36,380.43,374.92,363.53,365.72,370.11,361.43,360.96,360.17,368.93,371.61,363.67,370.96,383.58,387.19,381.41,364.06,360.00,358.47,356.07,367.86,379.75,364.51,L7
2014-01-08 22:06:55+00:00,386.93,367.90,383.84,368.02,380.91,382.49,380.26,388.87,387.03,400.15,394.67,393.94,382.27,383.64,382.87,382.53,372.74,374.70,377.49,382.47,380.66,381.97,384.84,402.02,404.56,396.38,381.55,369.88,375.32,375.77,383.11,396.85,379.48,L8
2014-01-24 22:06:45+00:00,395.93,384.99,384.81,379.20,384.00,388.46,391.19,391.49,399.22,405.68,408.25,400.10,394.78,391.34,390.61,388.43,384.54,379.57,384.98,393.74,386.24,386.80,395.24,404.68,409.28,401.88,389.82,382.00,378.92,378.77,388.66,400.30,383.64,L8
2014-02-01 22:02:30+00:00,,,,,,,,,,,,,,331.41,,,,,,,,,,,,,,350.44,358.41,357.52,380.96,,,L7
2014-02-09 22:06:33+00:00,383.11,377.07,373.34,369.10,364.88,369.41,365.16,364.90,376.21,374.12,379.50,373.12,374.84,359.07,362.00,353.07,355.33,361.04,356.25,360.70,365.80,368.37,383.24,395.55,391.08,380.84,373.47,369.19,370.69,368.61,377.60,396.50,381.87,L8
2014-02-25 22:06:20+00:00,384.06,376.56,372.78,373.98,362.70,367.86,366.23,360.38,374.68,368.55,377.96,377.11,371.10,351.83,354.51,360.54,350.83,359.41,352.79,358.19,361.80,357.65,376.46,391.72,382.70,368.29,365.19,354.06,356.53,356.31,372.44,380.11,367.85,L8
2014-03-05 22:02:25+00:00,383.73,387.87,370.58,363.94,368.76,375.76,362.45,369.60,365.17,382.62,377.67,365.04,361.61,363.28,355.47,349.24,343.84,355.06,367.11,371.90,360.05,363.97,379.45,396.85,394.25,383.71,362.43,358.92,369.09,371.55,380.20,395.50,381.84,L7
